Date,Continents,Country,Gender,Visitors,Visitors Same Period Previous Year,Growth
201912, Oceania,Australia, entire,19289,17174,12.3
202001, Oceania,Australia, male,6937,7126,-2.7
202001, Oceania,Australia, female,6651,6863,-3.1
202001, Oceania,Australia, Stewardess,451,296,52.4
202001, Oceania,Australia, entire,14039,14285,-1.7
202002, Oceania,Australia, male,3622,4504,-19.6
202002, Oceania,Australia, female,2853,3512,-18.8
202002, Oceania,Australia, Stewardess,382,315,21.3
202002, Oceania,Australia, entire,6857,8331,-17.7
202003, Oceania,Australia, male,341,6337,-94.6
202003, Oceania,Australia, female,302,5602,-94.6
202003, Oceania,Australia, Stewardess,117,324,-63.9
202003, Oceania,Australia, entire,760,12263,-93.8
202004, Oceania,Australia, male,44,9697,-99.5
202004, Oceania,Australia, female,41,9901,-99.6
202004, Oceania,Australia, Stewardess,39,340,-88.5
202004, Oceania,Australia, entire,124,19938,-99.4
202005, Oceania,Australia, male,40,7049,-99.4
202005, Oceania,Australia, female,53,6195,-99.1
202005, Oceania,Australia, Stewardess,44,314,-86
202005, Oceania,Australia, entire,137,13558,-99
202006, Oceania,Australia, male,28,6796,-99.6
202006, Oceania,Australia, female,33,6132,-99.5
202006, Oceania,Australia, Stewardess,50,273,-81.7
202006, Oceania,Australia, entire,111,13201,-99.2
202007, Oceania,Australia, male,90,6091,-98.5
202007, Oceania,Australia, female,74,5451,-98.6
202007, Oceania,Australia, Stewardess,41,298,-86.2
202007, Oceania,Australia, entire,205,11840,-98.3
202008, Oceania,Australia, male,59,6992,-99.2
202008, Oceania,Australia, female,50,6299,-99.2
202008, Oceania,Australia, Stewardess,47,356,-86.8
202008, Oceania,Australia, entire,156,13647,-98.9
202009, Oceania,Australia, male,51,8830,-99.4
202009, Oceania,Australia, female,42,8103,-99.5
202009, Oceania,Australia, Stewardess,52,336,-84.5
202009, Oceania,Australia, entire,145,17269,-99.2
202010, Oceania,Australia, male,69,8068,-99.1
202010, Oceania,Australia, female,45,7411,-99.4
202010, Oceania,Australia, Stewardess,56,772,-92.7
202010, Oceania,Australia, entire,170,16251,-99
202011, Oceania,Australia, male,92,6666,-98.6
202011, Oceania,Australia, female,60,6141,-99
202011, Oceania,Australia, Stewardess,86,539,-84
202011, Oceania,Australia, entire,238,13346,-98.2
202012, Oceania,Australia, male,67,9626,-99.3
202012, Oceania,Australia, female,57,9348,-99.4
202012, Oceania,Australia, Stewardess,106,315,-66.3
202012, Oceania,Australia, entire,230,19289,-98.8
202101, Oceania,Australia, male,73,6937,-98.9
202101, Oceania,Australia, female,45,6651,-99.3
202101, Oceania,Australia, Stewardess,87,451,-80.7
202101, Oceania,Australia, entire,205,14039,-98.5
202102, Oceania,Australia, male,55,3622,-98.5
202102, Oceania,Australia, female,62,2853,-97.8
202102, Oceania,Australia, Stewardess,70,382,-81.7
202102, Oceania,Australia, entire,187,6857,-97.3
202103, Oceania,Australia, male,49,341,-85.6
202103, Oceania,Australia, female,50,302,-83.4
202103, Oceania,Australia, Stewardess,73,117,-37.6
202103, Oceania,Australia, entire,172,760,-77.4
202104, Oceania,Australia, male,59,44,34.1
202104, Oceania,Australia, female,51,41,24.4
202104, Oceania,Australia, Stewardess,59,39,51.3
202104, Oceania,Australia, entire,169,124,36.3
202105, Oceania,Australia, male,60,40,50
202105, Oceania,Australia, female,44,53,-17
202105, Oceania,Australia, Stewardess,71,44,61.4
202105, Oceania,Australia, entire,175,137,27.7
202106, Oceania,Australia, male,68,28,142.9
202106, Oceania,Australia, female,55,33,66.7
202106, Oceania,Australia, Stewardess,69,50,38
202106, Oceania,Australia, entire,192,111,73
202107, Oceania,Australia, male,87,90,-3.3
202107, Oceania,Australia, female,80,74,8.1
202107, Oceania,Australia, Stewardess,89,41,117.1
202107, Oceania,Australia, entire,256,205,24.9
202108, Oceania,Australia, male,104,59,76.3
202108, Oceania,Australia, female,89,50,78
202108, Oceania,Australia, Stewardess,88,47,87.2
202108, Oceania,Australia, entire,281,156,80.1
202109, Oceania,Australia, male,89,51,74.5
202109, Oceania,Australia, female,70,42,66.7
202109, Oceania,Australia, Stewardess,100,52,92.3
202109, Oceania,Australia, entire,259,145,78.6
202110, Oceania,Australia, male,137,69,98.6
202110, Oceania,Australia, female,89,45,97.8
202110, Oceania,Australia, Stewardess,89,56,58.9
202110, Oceania,Australia, entire,315,170,85.3
202111, Oceania,Australia, male,297,92,222.8
202111, Oceania,Australia, female,228,60,280
202111, Oceania,Australia, Stewardess,84,86,-2.3
202111, Oceania,Australia, entire,609,238,155.9
202112, Oceania,Australia, male,304,67,353.7
202112, Oceania,Australia, female,304,57,433.3
202112, Oceania,Australia, Stewardess,75,106,-29.2
202112, Oceania,Australia, entire,683,230,197
202201, Oceania,Australia, male,294,73,302.7
202201, Oceania,Australia, female,228,45,406.7
202201, Oceania,Australia, Stewardess,89,87,2.3
202201, Oceania,Australia, entire,611,205,198
202202, Oceania,Australia, male,289,55,425.5
202202, Oceania,Australia, female,278,62,348.4
202202, Oceania,Australia, Stewardess,67,70,-4.3
202202, Oceania,Australia, entire,634,187,239
202203, Oceania,Australia, male,367,49,649
202203, Oceania,Australia, female,304,50,508
202203, Oceania,Australia, Stewardess,83,73,13.7
202203, Oceania,Australia, entire,754,172,338.4
202204, Oceania,Australia, male,1327,59,2149.2
202204, Oceania,Australia, female,1086,51,2029.4
202204, Oceania,Australia, Stewardess,63,59,6.8
202204, Oceania,Australia, entire,2476,169,1365.1
202205, Oceania,Australia, male,1935,60,3125
202205, Oceania,Australia, female,1564,44,3454.5
202205, Oceania,Australia, Stewardess,114,71,60.6
202205, Oceania,Australia, entire,3613,175,1964.6
202206, Oceania,Australia, male,2143,68,3051.5
202206, Oceania,Australia, female,1706,55,3001.8
202206, Oceania,Australia, Stewardess,298,69,331.9
202206, Oceania,Australia, entire,4147,192,2059.9
202207, Oceania,Australia, male,2399,87,2657.5
202207, Oceania,Australia, female,1903,80,2278.8
202207, Oceania,Australia, Stewardess,116,89,30.3
202207, Oceania,Australia, entire,4418,256,1625.8
202208, Oceania,Australia, male,2586,104,2386.5
202208, Oceania,Australia, female,2108,89,2268.5
202208, Oceania,Australia, Stewardess,141,88,60.2
202208, Oceania,Australia, entire,4835,281,1620.6
202209, Oceania,Australia, male,4147,89,4559.6
202209, Oceania,Australia, female,3874,70,5434.3
202209, Oceania,Australia, Stewardess,159,100,59
202209, Oceania,Australia, entire,8180,259,3058.3
202210, Oceania,Australia, male,4516,137,3196.4
202210, Oceania,Australia, female,4157,89,4570.8
202210, Oceania,Australia, Stewardess,413,89,364
202210, Oceania,Australia, entire,9086,315,2784.4
202211, Oceania,Australia, male,4891,297,1546.8
202211, Oceania,Australia, female,4599,228,1917.1
202211, Oceania,Australia, Stewardess,279,84,232.1
202211, Oceania,Australia, entire,9769,609,1504.1
202212, Oceania,Australia, male,8354,304,2648
202212, Oceania,Australia, female,8195,304,2595.7
202212, Oceania,Australia, Stewardess,430,75,473.3
202212, Oceania,Australia, entire,16979,683,2385.9
202301, Oceania,Australia, male,6231,294,2019.4
202301, Oceania,Australia, female,5912,228,2493
202301, Oceania,Australia, Stewardess,474,89,432.6
202301, Oceania,Australia, entire,12617,611,1965
202302, Oceania,Australia, male,3972,289,1274.4
202302, Oceania,Australia, female,3483,278,1152.9
202302, Oceania,Australia, Stewardess,444,67,562.7
202302, Oceania,Australia, entire,7899,634,1145.9
202303, Oceania,Australia, male,6702,367,1726.2
202303, Oceania,Australia, female,6938,304,2182.2
202303, Oceania,Australia, Stewardess,539,83,549.4
202303, Oceania,Australia, entire,14179,754,1780.5
202304, Oceania,Australia, male,9924,1327,647.9
202304, Oceania,Australia, female,10781,1086,892.7
202304, Oceania,Australia, Stewardess,572,63,807.9
202304, Oceania,Australia, entire,21277,2476,759.3
202305, Oceania,Australia, male,7572,1935,291.3
202305, Oceania,Australia, female,7402,1564,373.3
202305, Oceania,Australia, Stewardess,737,114,546.5
202305, Oceania,Australia, entire,15711,3613,334.8
202306, Oceania,Australia, male,8048,2143,275.5
202306, Oceania,Australia, female,8441,1706,394.8
202306, Oceania,Australia, Stewardess,605,298,103
202306, Oceania,Australia, entire,17094,4147,312.2
202307, Oceania,Australia, male,7112,2399,196.5
202307, Oceania,Australia, female,6758,1903,255.1
202307, Oceania,Australia, Stewardess,572,116,393.1
202307, Oceania,Australia, entire,14442,4418,226.9
202308, Oceania,Australia, male,5975,2586,131.1
202308, Oceania,Australia, female,5725,2108,171.6
202308, Oceania,Australia, Stewardess,598,141,324.1
202308, Oceania,Australia, entire,12298,4835,154.4
201601, Europe, Austria, male,443,458,-3.3
201601, Europe, Austria, female,141,129,9.3
201601, Europe, Austria, Stewardess,120,101,18.8
201601, Europe, Austria, entire,704,688,2.3
201602, Europe, Austria, male,531,400,32.8
201602, Europe, Austria, female,169,136,24.3
201602, Europe, Austria, Stewardess,104,94,10.6
201602, Europe, Austria, entire,804,630,27.6
201603, Europe, Austria, male,621,563,10.3
201603, Europe, Austria, female,203,174,16.7
201603, Europe, Austria, Stewardess,153,110,39.1
201603, Europe, Austria, entire,977,847,15.3
201604, Europe, Austria, male,653,528,23.7
201604, Europe, Austria, female,182,194,-6.2
201604, Europe, Austria, Stewardess,176,150,17.3
201604, Europe, Austria, entire,1011,872,15.9
201605, Europe, Austria, male,539,515,4.7
201605, Europe, Austria, female,174,180,-3.3
201605, Europe, Austria, Stewardess,164,115,42.6
201605, Europe, Austria, entire,877,810,8.3
201606, Europe, Austria, male,591,441,34
201606, Europe, Austria, female,198,121,63.6
201606, Europe, Austria, Stewardess,148,123,20.3
201606, Europe, Austria, entire,937,685,36.8
201607, Europe, Austria, male,628,487,29
201607, Europe, Austria, female,300,216,38.9
201607, Europe, Austria, Stewardess,146,114,28.1
201607, Europe, Austria, entire,1074,817,31.5
201608, Europe, Austria, male,608,462,31.6
201608, Europe, Austria, female,284,233,21.9
201608, Europe, Austria, Stewardess,133,116,14.7
201608, Europe, Austria, entire,1025,811,26.4
201609, Europe, Austria, male,611,589,3.7
201609, Europe, Austria, female,235,178,32
201609, Europe, Austria, Stewardess,155,113,37.2
201609, Europe, Austria, entire,1001,880,13.8
201610, Europe, Austria, male,780,857,-9
201610, Europe, Austria, female,252,250,0.8
201610, Europe, Austria, Stewardess,167,143,16.8
201610, Europe, Austria, entire,1199,1250,-4.1
201611, Europe, Austria, male,683,632,8.1
201611, Europe, Austria, female,179,167,7.2
201611, Europe, Austria, Stewardess,140,109,28.4
201611, Europe, Austria, entire,1002,908,10.4
201612, Europe, Austria, male,383,323,18.6
201612, Europe, Austria, female,124,116,6.9
201612, Europe, Austria, Stewardess,124,119,4.2
201612, Europe, Austria, entire,631,558,13.1
201701, Europe, Austria, male,452,443,2
201701, Europe, Austria, female,140,141,-0.7
201701, Europe, Austria, Stewardess,131,120,9.2
201701, Europe, Austria, entire,723,704,2.7
201702, Europe, Austria, male,679,531,27.9
201702, Europe, Austria, female,175,169,3.6
201702, Europe, Austria, Stewardess,121,104,16.3
201702, Europe, Austria, entire,975,804,21.3
201703, Europe, Austria, male,671,621,8.1
201703, Europe, Austria, female,163,203,-19.7
201703, Europe, Austria, Stewardess,144,153,-5.9
201703, Europe, Austria, entire,978,977,0.1
201704, Europe, Austria, male,632,653,-3.2
201704, Europe, Austria, female,310,182,70.3
201704, Europe, Austria, Stewardess,140,176,-20.5
201704, Europe, Austria, entire,1082,1011,7
201705, Europe, Austria, male,560,539,3.9
201705, Europe, Austria, female,180,174,3.4
201705, Europe, Austria, Stewardess,146,164,-11
201705, Europe, Austria, entire,886,877,1
201706, Europe, Austria, male,513,591,-13.2
201706, Europe, Austria, female,173,198,-12.6
201706, Europe, Austria, Stewardess,109,148,-26.4
201706, Europe, Austria, entire,795,937,-15.2
201707, Europe, Austria, male,587,628,-6.5
201707, Europe, Austria, female,321,300,7
201707, Europe, Austria, Stewardess,132,146,-9.6
201707, Europe, Austria, entire,1040,1074,-3.2
201708, Europe, Austria, male,565,608,-7.1
201708, Europe, Austria, female,320,284,12.7
201708, Europe, Austria, Stewardess,121,133,-9
201708, Europe, Austria, entire,1006,1025,-1.9
201709, Europe, Austria, male,653,611,6.9
201709, Europe, Austria, female,275,235,17
201709, Europe, Austria, Stewardess,106,155,-31.6
201709, Europe, Austria, entire,1034,1001,3.3
201710, Europe, Austria, male,717,780,-8.1
201710, Europe, Austria, female,242,252,-4
201710, Europe, Austria, Stewardess,121,167,-27.5
201710, Europe, Austria, entire,1080,1199,-9.9
201711, Europe, Austria, male,675,683,-1.2
201711, Europe, Austria, female,207,179,15.6
201711, Europe, Austria, Stewardess,98,140,-30
201711, Europe, Austria, entire,980,1002,-2.2
201712, Europe, Austria, male,409,383,6.8
201712, Europe, Austria, female,149,124,20.2
201712, Europe, Austria, Stewardess,90,124,-27.4
201712, Europe, Austria, entire,648,631,2.7
201801, Europe, Austria, male,557,452,23.2
201801, Europe, Austria, female,135,140,-3.6
201801, Europe, Austria, Stewardess,103,131,-21.4
201801, Europe, Austria, entire,795,723,10
201802, Europe, Austria, male,1267,679,86.6
201802, Europe, Austria, female,352,175,101.1
201802, Europe, Austria, Stewardess,97,121,-19.8
201802, Europe, Austria, entire,1716,975,76
201803, Europe, Austria, male,704,671,4.9
201803, Europe, Austria, female,268,163,64.4
201803, Europe, Austria, Stewardess,101,144,-29.9
201803, Europe, Austria, entire,1073,978,9.7
201804, Europe, Austria, male,687,632,8.7
201804, Europe, Austria, female,283,310,-8.7
201804, Europe, Austria, Stewardess,102,140,-27.1
201804, Europe, Austria, entire,1072,1082,-0.9
201805, Europe, Austria, male,595,560,6.2
201805, Europe, Austria, female,263,180,46.1
201805, Europe, Austria, Stewardess,99,146,-32.2
201805, Europe, Austria, entire,957,886,8
201806, Europe, Austria, male,520,513,1.4
201806, Europe, Austria, female,210,173,21.4
201806, Europe, Austria, Stewardess,92,109,-15.6
201806, Europe, Austria, entire,822,795,3.4
201807, Europe, Austria, male,642,587,9.4
201807, Europe, Austria, female,345,321,7.5
201807, Europe, Austria, Stewardess,95,132,-28
201807, Europe, Austria, entire,1082,1040,4
201808, Europe, Austria, male,603,565,6.7
201808, Europe, Austria, female,371,320,15.9
201808, Europe, Austria, Stewardess,100,121,-17.4
201808, Europe, Austria, entire,1074,1006,6.8
201809, Europe, Austria, male,656,653,0.5
201809, Europe, Austria, female,347,275,26.2
201809, Europe, Austria, Stewardess,104,106,-1.9
201809, Europe, Austria, entire,1107,1034,7.1
201810, Europe, Austria, male,805,717,12.3
201810, Europe, Austria, female,381,242,57.4
201810, Europe, Austria, Stewardess,104,121,-14
201810, Europe, Austria, entire,1290,1080,19.4
201811, Europe, Austria, male,740,675,9.6
201811, Europe, Austria, female,192,207,-7.2
201811, Europe, Austria, Stewardess,92,98,-6.1
201811, Europe, Austria, entire,1024,980,4.5
201812, Europe, Austria, male,367,409,-10.3
201812, Europe, Austria, female,160,149,7.4
201812, Europe, Austria, Stewardess,96,90,6.7
201812, Europe, Austria, entire,623,648,-3.9
201901, Europe, Austria, male,480,557,-13.8
201901, Europe, Austria, female,169,135,25.2
201901, Europe, Austria, Stewardess,127,103,23.3
201901, Europe, Austria, entire,776,795,-2.4
201902, Europe, Austria, male,446,1267,-64.8
201902, Europe, Austria, female,206,352,-41.5
201902, Europe, Austria, Stewardess,94,97,-3.1
201902, Europe, Austria, entire,746,1716,-56.5
201903, Europe, Austria, male,597,704,-15.2
201903, Europe, Austria, female,205,268,-23.5
201903, Europe, Austria, Stewardess,109,101,7.9
201903, Europe, Austria, entire,911,1073,-15.1
201904, Europe, Austria, male,636,687,-7.4
201904, Europe, Austria, female,350,283,23.7
201904, Europe, Austria, Stewardess,154,102,51
201904, Europe, Austria, entire,1140,1072,6.3
201905, Europe, Austria, male,614,595,3.2
201905, Europe, Austria, female,257,263,-2.3
201905, Europe, Austria, Stewardess,121,99,22.2
201905, Europe, Austria, entire,992,957,3.7
201906, Europe, Austria, male,542,520,4.2
201906, Europe, Austria, female,247,210,17.6
201906, Europe, Austria, Stewardess,100,92,8.7
201906, Europe, Austria, entire,889,822,8.2
201907, Europe, Austria, male,654,642,1.9
201907, Europe, Austria, female,411,345,19.1
201907, Europe, Austria, Stewardess,109,95,14.7
201907, Europe, Austria, entire,1174,1082,8.5
201908, Europe, Austria, male,654,603,8.5
201908, Europe, Austria, female,441,371,18.9
201908, Europe, Austria, Stewardess,123,100,23
201908, Europe, Austria, entire,1218,1074,13.4
201909, Europe, Austria, male,785,656,19.7
201909, Europe, Austria, female,463,347,33.4
201909, Europe, Austria, Stewardess,121,104,16.3
201909, Europe, Austria, entire,1369,1107,23.7
201910, Europe, Austria, male,889,805,10.4
201910, Europe, Austria, female,446,381,17.1
201910, Europe, Austria, Stewardess,126,104,21.2
201910, Europe, Austria, entire,1461,1290,13.3
201911, Europe, Austria, male,734,740,-0.8
201911, Europe, Austria, female,252,192,31.2
201911, Europe, Austria, Stewardess,127,92,38
201911, Europe, Austria, entire,1113,1024,8.7
201912, Europe, Austria, male,457,367,24.5
201912, Europe, Austria, female,213,160,33.1
201912, Europe, Austria, Stewardess,111,96,15.6
201912, Europe, Austria, entire,781,623,25.4
202001, Europe, Austria, male,403,480,-16
202001, Europe, Austria, female,151,169,-10.7
202001, Europe, Austria, Stewardess,136,127,7.1
202001, Europe, Austria, entire,690,776,-11.1
202002, Europe, Austria, male,377,446,-15.5
202002, Europe, Austria, female,187,206,-9.2
202002, Europe, Austria, Stewardess,104,94,10.6
202002, Europe, Austria, entire,668,746,-10.5
202003, Europe, Austria, male,26,597,-95.6
202003, Europe, Austria, female,25,205,-87.8
202003, Europe, Austria, Stewardess,45,109,-58.7
202003, Europe, Austria, entire,96,911,-89.5
202004, Europe, Austria, male,2,636,-99.7
202004, Europe, Austria, female,0,350,-100
202004, Europe, Austria, Stewardess,66,154,-57.1
202004, Europe, Austria, entire,68,1140,-94
202005, Europe, Austria, male,12,614,-98
202005, Europe, Austria, female,1,257,-99.6
202005, Europe, Austria, Stewardess,96,121,-20.7
202005, Europe, Austria, entire,109,992,-89
202006, Europe, Austria, male,21,542,-96.1
202006, Europe, Austria, female,1,247,-99.6
202006, Europe, Austria, Stewardess,67,100,-33
202006, Europe, Austria, entire,89,889,-90
