Asia,,,,,,,
South Korea,,,,,,,
Fan-Con,Dec 17,MAMAMOO+,Two Rabbits Code,Manila,New Frontier Theatre,,
Concert,1/14/24,SEVENTEEN,FOLLOW' Tour,Bulacan,,,
Festival,TBA,"Dara, Minzy (2NE1)",EPICON,Manila,SM MOA Festival Grounds,,
Thailand,,,,,,,
Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Concert,Dec 17,WOODZ,OO-LI AND,Bangkok,,,
Concert,Dec 23,SEVENTEEN,FOLLOW' Tour,Bangkok,,,
Singapore,,,,,,,
Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Fan-Con,Nov 15,MAMAMOO+,Two Rabbits Code,Singapore,Star Theatre,,
Concert,2/16/24,STAYC,TEENFRESH,Singapore,,,
Vietnam,,,,,,,
Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Festival,Nov 11,"ENHYPEN, Sunmi, EPIK HIGH, DPR IAN, XG, Cherry Bullet, Peakboy",Hyperound K-Fest,"Abu Dhabi, UAE",Etihad Arena,,
Festival,Q4 2023,"iKON, Sunmi, SF9, EVERGLOW, xikerz, ATEEZ, BamBam (GOT7), OH MY GIRL, P1Harmony, DRIPPIN",K.ONE Festa,"Al Masrouhiya, QT",Lusail Multipurpose Hall,,
North America,,,,,,,
USA,,,,,,,
Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Concert,Nov 1,EVERGLOW,ALL MY GIRLS,"New Haven, CT",College Street Music Hall,,
Concert,Nov 1,PURPLE KISS,FESTA Tour,"New York, NY",Queens Theatre,,
Concert,Nov 1,xikers,TRICKY HOUSE: First Encounter,"Los Angeles, CA",The Orpheum,,
Concert,Nov 3,AB6IX,THE FUTURE,"Chicago, IL",,,
Concert,Nov 3,Eric Nam,House on a Hill World Tour,"Seattle, WA",Showbox SoDo,,
Concert,Nov 3,EVERGLOW,ALL MY GIRLS,"New York, NY",Kings Theatre,,
Concert,Nov 3,PURPLE KISS,FESTA Tour,TBA,TBA,,
Concert,Nov 3,The Rose,Dawn to Dusk,"Houston, TX",713 Music Hall,,
Concert,Nov 4,Eric Nam,House on a Hill World Tour,"Portland, OR",Roseland Theater,,
Concert,Nov 4,PURPLE KISS,FESTA Tour,"Philadelphia, PA",Temple Performing Arts Center,,
Concert,Nov 4,xikers,TRICKY HOUSE: First Encounter,"San Francisco, CA",The Warfield,,
Concert,Nov 5,AB6IX,THE FUTURE,"Jersey City, NJ",,,
Concert,Nov 5,The Rose,Dawn to Dusk,"Grand Prarie, TX",Texas Trust CU Theatre,,
Concert,Nov 6,Eric Nam,House on a Hill World Tour,"Oakland, CA",Fox Theater,,
Concert,Nov 6,PURPLE KISS,FESTA Tour,"Charlotte, NC",Blackbox Theatre,,
Concert,Nov 6,EVERGLOW,ALL MY GIRLS,"Atlanta, GA",Tabernacle,,
Concert,Nov 7,AB6IX,THE FUTURE,"Atlanta, GA",Masquerade - Heaven,,
Concert,Nov 7,Eric Nam,House on a Hill World Tour,"Wheatland, CA",Hard Rock Live,,
Concert,Nov 7,The Rose,Dawn to Dusk,"Austin, TX",ACL Live @ Moody Theater,,
Concert,Nov 8,EVERGLOW,ALL MY GIRLS,"Washington, DC",Warner Theatre,,
Concert,Nov 8,PURPLE KISS,FESTA Tour,"Columbus, OH",King of Clubs,,
Concert,Nov 9,AB6IX,THE FUTURE,"Dallas, TX",,,
Concert,Nov 9,PURPLE KISS,FESTA Tour,"Detroit, MI",Garden Theatre,,
Concert,Nov 10,Eric Nam,House on a Hill World Tour,"Las Vegas, NV",Brooklyn Bowl,,
Concert,Nov 10,EVERGLOW,ALL MY GIRLS,"St. Petersburg, FL",Mahaffey Theater,,
Concert,Nov 10,The Rose,Dawn to Dusk,"Phoenix, AZ",Arizona Financial Theatre,,
Concert,Nov 11,AB6IX,THE FUTURE,"San Francisco, CA",,,
Concert,Nov 11,PURPLE KISS,FESTA Tour,"Louisville, KY",Art Sanctuary,,
Concert,Nov 11,Eric Nam,House on a Hill World Tour,"Los Angeles, CA",Shrine Expo Hall,,
Concert,Nov 12,AB6IX,THE FUTURE,"Los Angeles, CA",,,
Concert,Nov 12,The Rose,Dawn to Dusk,"Inglewood, CA",Kia Forum,,
Concert,Nov 12,PURPLE KISS,FESTA Tour,"Nashville, TN",Riverside Revival,,
Concert,Nov 13,Eric Nam,House on a Hill World Tour,"Anaheim, CA",House of Blues,,
Concert,Nov 13,EVERGLOW,ALL MY GIRLS,"Louisville, KY",Louisville Palace,,
Concert,Nov 14,Eric Nam,House on a Hill World Tour,"San Diego, CA",SOMA,,
Concert,Nov 14,PURPLE KISS,FESTA Tour,"Kansas City, MO",Gem Theatre,,
Concert,Nov 15,Eric Nam,House on a Hill World Tour,"Phoenix, AZ",Van Buren,,
Concert,Nov 15,EVERGLOW,ALL MY GIRLS,"Chicago, IL",Patio Theater,,
Concert,Nov 16,PURPLE KISS,FESTA Tour,"Chicago, IL",North Shore Center,,
Concert,Nov 17,EVERGLOW,ALL MY GIRLS,"Denver, CO",Fillmore Auditorium,,
Concert,Nov 18,PURPLE KISS,FESTA Tour,"Minneapolis, MN",Granada Theater,,
Concert,Nov 20,EVERGLOW,ALL MY GIRLS,"San Francisco, CA",The Warfield,,
Concert,Nov 20,PURPLE KISS,FESTA Tour,"Denver, CO",Oriental Theater,,
Concert,Nov 22,EVERGLOW,ALL MY GIRLS,"Los Angeles, CA",The Wiltern,,
Concert,Nov 22,PURPLE KISS,FESTA Tour,"Dallas, TX",Gilley's,,
Concert,Nov 24,PURPLE KISS,FESTA Tour,"San Antonio, TX",Vibes Event Center,,
Concert,Nov 26,PURPLE KISS,FESTA Tour,"Phoenix, AZ",Herberger Theater Center,,
Concert,Nov 28,PURPLE KISS,FESTA Tour,"Los Angeles, CA",Palace Theatre,,
Concert,Nov 30,WOODZ,OO-LI AND,"Los Angeles, CA",Terrace Theater,,
Concert,Dec 2,WOODZ,OO-LI AND,"San Francisco, CA",,,
Concert,Dec 3,Chuu,HOWL in USA,"Los Angeles, CA",Orpheum Theatre,,
Concert,Dec 4,WOODZ,OO-LI AND,"Chicago, IL",Arie Crown Theater,,
Concert,Dec 5,Chuu,HOWL in USA,"Oakland, CA",Paramount Theatre,,
Concert,Dec 6,WOODZ,OO-LI AND,"Houston, TX",Smart Financial Centre,,
Concert,Dec 7,Chuu,HOWL in USA,"Denver, CO",Fillmore Auditorium,,
Concert,Dec 8,WOODZ,OO-LI AND,"Atlanta, GA",Gas South Arena,,
Concert,Dec 11,Chuu,HOWL in USA,"Washington, DC",MGM Nat'l Harbor,,
Concert,Dec 11,WOODZ,OO-LI AND,"New York, NY",Kings Theatre,,
Concert,Dec 13,Chuu,HOWL in USA,"New York, NY",Kings Theatre,,
Concert,Dec 15,Chuu,HOWL in USA,"Atlanta, GA",Coca-Cola Roxy,,
Concert,Dec 17,Chuu,HOWL in USA,"Dallas, TX",Music Hall @ Fair Park,,
Concert,1/5/24,VAV,Subconscious,"Jersey City, NJ",,,
Concert,1/7/24,VAV,Subconscious,"Chicago, IL",,,
Concert,1/9/24,VAV,Subconscious,"Orlando, FL",,,
Concert,1/13/24,VAV,Subconscious,"Atlanta, GA",,,
Concert,1/14/24,VAV,Subconscious,"Dallas, TX",,,
Concert,1/16/24,VAV,Subconscious,"Phoenix, AZ",,,
Concert,1/18/24,VAV,Subconscious,"Seattle, WA",,,
Concert,1/19/24,VAV,Subconscious,"San Francisco, CA",,,
Concert,1/21/24,VAV,Subconscious,"Los Angeles, CA",,,
Canada,,,,,,,
Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Festival,Jun 10,"Kwon Eunbi, KINGDOM",K-Fest,"Ottawa, ON",Landsdowne Park,Eventbrite,
Concert,Nov 1,Eric Nam,House on a Hill World Tour,"Vancouver, BC",PNE Forum,,
Concert,Nov 2,DJ HYO,2023 Tour,"Vancouver, BC",,,
Mexico,,,,,,,
Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Concert,Nov 28,Eric Nam,House on a Hill World Tour,Mexico City,Foro Puebla,,
Concert,2/3/24,TWICE,READY TO BE,Mexico City,Foro Sol,,
Central & South America,,,,,,,
Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Concert,Nov 20,Eric Nam,House on a Hill World Tour,"Sao Paulo, BR",Cine Joia,,
Concert,Nov 22,Eric Nam,House on a Hill World Tour,"Buenos Aires, AR",Niceto Club,,
Concert,Nov 23,Eric Nam,House on a Hill World Tour,"Santiago, CL",Teatro Cariola,,
Concert,Nov 25,Eric Nam,House on a Hill World Tour,"Lima, PE",Scencia,,
Concert,1/11/24,VAV,Subconscious,"San Juan, PR",,,
Concert,2/6-2/7/24,TWICE,READY TO BE,"Sao Paulo, BR",Allianz Parque,,
Concert,TBA,DKB,Meet & Live Grand America,"San Juan, PR",Teatro de la Universidad de Puerto Rico,,
UK & Europe,,,,,,,
United Kingdom,,,,,,,
Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Concert,Jun 23,Lee Sungjong (INFINITE),THE ONE,London,Conway,,
Concert,TBA,XODIAC,Debut Showcase,London,Clapham Grand,,
Europe,,,,,,,
Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Festival,4/20/24,"NCT Dream, aespa, TBA",KPOP BANG,"Gelsenkirchen, DE",VELTINS-Arena,Ticketmaster,
Concert,TBA,iKON,TAKE OFF,"Madrid, ES",,,
Concert,TBA,XODIAC,Debut Showcase,"Amsterdam, NL",Melkweg,,
Convention,TBA,"MustB, LUMINOUS, DKZ, Brooklyn, Pink Fantasy",KON,"Stockholm, SE",,,
Australia & New Zealand,,,,,,,
Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Concert,Nov 4,TWICE,READY TO BE,"Melbourne, VIC",Marvel Stadium,,
