Base date, Major countries and continents, country name, Purpose classification, personnel, Same period last year, increase/decrease rate
201601, Asia, Bangladesh, etc,550,461,19.3
201601, Asia, Bangladesh, entire,944,690,36.8
201601, Asia, Pakistan, tourism,251,143,75.5
201601, Asia, Pakistan, commercial,196,188,4.3
201601, Asia, Pakistan, Public,7,7,0
201601, Asia, Pakistan, Study Abroad,105,71,47.9
201601, Asia, Pakistan, etc,402,288,39.6
201601, Asia, Pakistan, entire,961,697,37.9
201601, Asia, Israel, tourism,832,747,11.4
201601, Asia, Israel, commercial,11,4,175
201601, Asia, Israel, Public,0,0,0
201601, Asia, Israel, Study Abroad,8,8,0
201601, Asia, Israel, etc,34,29,17.2
201601, Asia, Israel, entire,885,788,12.3
201601, Asia, Iran, tourism,61,37,64.9
201601, Asia, Iran, commercial,169,155,9
201601, Asia, Iran, Public,0,2,-100
201601, Asia, Iran, Study Abroad,17,17,0
201601, Asia, Iran, etc,29,24,20.8
201601, Asia, Iran, entire,276,235,17.4
201601, Asia, etc, tourism,1034,982,5.3
201601, Asia, etc, commercial,330,402,-17.9
201601, Asia, etc, Public,66,86,-23.3
201601, Asia, etc, Study Abroad,96,72,33.3
201601, Asia, etc, etc,1450,1291,12.3
201601, Asia, etc, entire,2976,2833,5
201601, America, Year and Continent, tourism,45536,42000,8.4
201601, America, Year and Continent, commercial,725,1020,-28.9
201601, America, Year and Continent, Public,2129,1832,16.2
201601, America, Year and Continent, Study Abroad,458,426,7.5
201601, America, Year and Continent, etc,21014,18625,12.8
201601, America, Year and Continent, entire,69862,63903,9.3
201601, America, USA, tourism,36829,33727,9.2
201601, America, USA, commercial,566,755,-25
201601, America, USA, Public,2090,1796,16.4
201601, America, USA, Study Abroad,218,198,10.1
201601, America, USA, etc,16036,14420,11.2
201601, America, USA, entire,55739,50896,9.5
201601, America, Canada, tourism,6528,6155,6.1
201601, America, Canada, commercial,100,159,-37.1
201601, America, Canada, Public,18,12,50
201601, America, Canada, Study Abroad,30,35,-14.3
201601, America, Canada, etc,3842,3537,8.6
201601, America, Canada, entire,10518,9898,6.3
201601, America, brazil, tourism,632,754,-16.2
201601, America, brazil, commercial,17,55,-69.1
201601, America, brazil, Public,8,8,0
201601, America, brazil, Study Abroad,32,68,-52.9
201601, America, brazil, etc,302,194,55.7
201601, America, brazil, entire,991,1079,-8.2
201601, America, Mexico, tourism,547,536,2.1
201601, America, Mexico, commercial,8,10,-20
201601, America, Mexico, Public,3,6,-50
201601, America, Mexico, Study Abroad,58,44,31.8
201601, America, Mexico, etc,173,153,13.1
201601, America, Mexico, entire,789,749,5.3
201601, America, etc, tourism,1000,828,20.8
201601, America, etc, commercial,34,41,-17.1
201601, America, etc, Public,10,10,0
201601, America, etc, Study Abroad,120,81,48.1
201601, America, etc, etc,661,321,105.9
201601, America, etc, entire,1825,1281,42.5
201601, europe, Year and Continent, tourism,39216,36225,8.3
201601, europe, Year and Continent, commercial,2913,3435,-15.2
201601, europe, Year and Continent, Public,173,164,5.5
201601, europe, Year and Continent, Study Abroad,879,847,3.8
201601, europe, Year and Continent, etc,17487,14511,20.5
201601, europe, Year and Continent, entire,60668,55182,9.9
201601, europe, russia, tourism,10935,9646,13.4
201601, europe, russia, commercial,143,132,8.3
201601, europe, russia, Public,22,33,-33.3
201601, europe, russia, Study Abroad,73,76,-3.9
201601, europe, russia, etc,5289,4070,30
201601, europe, russia, entire,16462,13957,17.9
201601, europe, uk, tourism,6572,6935,-5.2
201601, europe, uk, commercial,624,835,-25.3
201601, europe, uk, Public,22,14,57.1
201601, europe, uk, Study Abroad,41,45,-8.9
201601, europe, uk, etc,2142,1886,13.6
201601, europe, uk, entire,9401,9715,-3.2
201601, europe, germany, tourism,5548,4721,17.5
201601, europe, germany, commercial,337,303,11.2
201601, europe, germany, Public,21,11,90.9
201601, europe, germany, Study Abroad,147,166,-11.4
201601, europe, germany, etc,1260,1115,13
201601, europe, germany, entire,7313,6316,15.8
201601, europe, france, tourism,3406,3263,4.4
201601, europe, france, commercial,554,598,-7.4
201601, europe, france, Public,45,38,18.4
201601, europe, france, Study Abroad,212,202,5
201601, europe, france, etc,1183,1181,0.2
201601, europe, france, entire,5400,5282,2.2
201601, europe, Italy, tourism,1828,1524,19.9
201601, europe, Italy, commercial,107,177,-39.5
201601, europe, Italy, Public,8,11,-27.3
201601, europe, Italy, Study Abroad,27,21,28.6
201601, europe, Italy, etc,1302,357,264.7
201601, europe, Italy, entire,3272,2090,56.6
201601, europe, Netherlands, tourism,1493,1400,6.6
201601, europe, Netherlands, commercial,80,70,14.3
201601, europe, Netherlands, Public,5,9,-44.4
201601, europe, Netherlands, Study Abroad,53,69,-23.2
201601, europe, Netherlands, etc,537,478,12.3
201601, europe, Netherlands, entire,2168,2026,7
201601, europe, Ukraine, tourism,516,412,25.2
201601, europe, Ukraine, commercial,51,97,-47.4
201601, europe, Ukraine, Public,1,1,0
201601, europe, Ukraine, Study Abroad,5,4,25
201601, europe, Ukraine, etc,1375,1450,-5.2
201601, europe, Ukraine, entire,1948,1964,-0.8
201601, europe, Spain, tourism,847,798,6.1
201601, europe, Spain, commercial,43,40,7.5
201601, europe, Spain, Public,10,12,-16.7
201601, europe, Spain, Study Abroad,40,41,-2.4
201601, europe, Spain, etc,310,253,22.5
201601, europe, Spain, entire,1250,1144,9.3
201601, europe, Romania, tourism,347,253,37.2
201601, europe, Romania, commercial,25,27,-7.4
201601, europe, Romania, Public,1,5,-80
201601, europe, Romania, Study Abroad,12,7,71.4
201601, europe, Romania, etc,610,429,42.2
201601, europe, Romania, entire,995,721,38
201601, europe, Norway, tourism,759,792,-4.2
201601, europe, Norway, commercial,478,651,-26.6
201601, europe, Norway, Public,5,4,25
201601, europe, Norway, Study Abroad,19,15,26.7
201601, europe, Norway, etc,253,267,-5.2
201601, europe, Norway, entire,1514,1729,-12.4
201601, europe, Sweden, tourism,744,747,-0.4
201601, europe, Sweden, commercial,72,83,-13.3
201601, europe, Sweden, Public,11,10,10
201601, europe, Sweden, Study Abroad,29,36,-19.4
201601, europe, Sweden, etc,96,144,-33.3
201601, europe, Sweden, entire,952,1020,-6.7
201601, europe, Poland, tourism,471,442,6.6
201601, europe, Poland, commercial,34,52,-34.6
201601, europe, Poland, Public,0,0,0
201601, europe, Poland, Study Abroad,24,10,140
201601, europe, Poland, etc,288,404,-28.7
201601, europe, Poland, entire,817,908,-10
201601, europe, Swiss, tourism,609,602,1.2
201601, europe, Swiss, commercial,25,23,8.7
201601, europe, Swiss, Public,0,1,-100
201601, europe, Swiss, Study Abroad,21,15,40
201601, europe, Swiss, etc,78,70,11.4
201601, europe, Swiss, entire,733,711,3.1
201601, europe, Portugal, tourism,395,421,-6.2
201601, europe, Portugal, commercial,13,18,-27.8
201601, europe, Portugal, Public,2,0,0
201601, europe, Portugal, Study Abroad,13,7,85.7
201601, europe, Portugal, etc,103,80,28.7
201601, europe, Portugal, entire,526,526,0
201601, europe,Austria, tourism,488,436,11.9
201601, europe,Austria, commercial,16,20,-20
201601, europe,Austria, Public,2,2,0
201601, europe,Austria, Study Abroad,19,11,72.7
201601, europe,Austria, etc,179,219,-18.3
201601, europe,Austria, entire,704,688,2.3
201601, europe, Finland, tourism,558,482,15.8
201601, europe, Finland, commercial,26,19,36.8
201601, europe, Finland, Public,1,0,0
201601, europe, Finland, Study Abroad,24,30,-20
201601, europe, Finland, etc,285,231,23.4
201601, europe, Finland, entire,894,762,17.3
201601, europe, Belgium, tourism,510,390,30.8
201601, europe, Belgium, commercial,18,34,-47.1
201601, europe, Belgium, Public,5,0,0
201601, europe, Belgium, Study Abroad,16,13,23.1
201601, europe, Belgium, etc,163,124,31.5
201601, europe, Belgium, entire,712,561,26.9
201601, europe, Croatia, tourism,169,172,-1.7
201601, europe, Croatia, commercial,22,17,29.4
201601, europe, Croatia, Public,0,0,0
201601, europe, Croatia, Study Abroad,2,0,0
201601, europe, Croatia, etc,202,149,35.6
201601, europe, Croatia, entire,395,338,16.9
201601, europe, Greece, tourism,356,285,24.9
201601, europe, Greece, commercial,56,49,14.3
201601, europe, Greece, Public,2,1,100
201601, europe, Greece, Study Abroad,1,1,0
201601, europe, Greece, etc,297,262,13.4
201601, europe, Greece, entire,712,598,19.1
201601, europe, Bulgaria, tourism,191,151,26.5
201601, europe, Bulgaria, commercial,4,5,-20
201601, europe, Bulgaria, Public,1,0,0
201601, europe, Bulgaria, Study Abroad,6,5,20
201601, europe, Bulgaria, etc,403,284,41.9
201601, europe, Bulgaria, entire,605,445,36
201601, europe, Denmark, tourism,549,573,-4.2
201601, europe, Denmark, commercial,98,79,24.1
201601, europe, Denmark, Public,4,4,0
201601, europe, Denmark, Study Abroad,16,16,0
201601, europe, Denmark, etc,145,131,10.7
201601, europe, Denmark, entire,812,803,1.1
201601, europe, Ireland, tourism,341,349,-2.3
201601, europe, Ireland, commercial,27,39,-30.8
201601, europe, Ireland, Public,0,1,-100
201601, europe, Ireland, Study Abroad,1,1,0
201601, europe, Ireland, etc,235,247,-4.9
201601, europe, Ireland, entire,604,637,-5.2
201601, europe, etc, tourism,1584,1431,10.7
201601, europe, etc, commercial,60,67,-10.4
201601, europe, etc, Public,5,7,-28.6
201601, europe, etc, Study Abroad,78,56,39.3
201601, europe, etc, etc,752,680,10.6
201601, europe, etc, entire,2479,2241,10.6
201601, Oceania, Year and Continent, tourism,10398,10940,-5
201601, Oceania, Year and Continent, commercial,477,456,4.6
201601, Oceania, Year and Continent, Public,27,18,50
201601, Oceania, Year and Continent, Study Abroad,42,28,50
201601, Oceania, Year and Continent, etc,2134,1795,18.9
201601, Oceania, Year and Continent, entire,13078,13237,-1.2
201601, Oceania, australia, tourism,8117,8370,-3
201601, Oceania, australia, commercial,429,414,3.6
201601, Oceania, australia, Public,25,12,108.3
201601, Oceania, australia, Study Abroad,31,23,34.8
201601, Oceania, australia, etc,1378,1178,17
201601, Oceania, australia, entire,9980,9997,-0.2
201601, Oceania, New Zealand, tourism,1748,2051,-14.8
201601, Oceania, New Zealand, commercial,47,42,11.9
201601, Oceania, New Zealand, Public,1,0,0
201601, Oceania, New Zealand, Study Abroad,5,2,150
201601, Oceania, New Zealand, etc,625,523,19.5
201601, Oceania, New Zealand, entire,2426,2618,-7.3
201601, Oceania, etc, tourism,533,519,2.7
201601, Oceania, etc, commercial,1,0,0
201601, Oceania, etc, Public,1,6,-83.3
201601, Oceania, etc, Study Abroad,6,3,100
201601, Oceania, etc, etc,131,94,39.4
201601, Oceania, etc, entire,672,622,8
201601, Africa, Year and Continent, tourism,1242,936,32.7
201601, Africa, Year and Continent, commercial,439,382,14.9
201601, Africa, Year and Continent, Public,27,18,50
201601, Africa, Year and Continent, Study Abroad,187,129,45
201601, Africa, Year and Continent, etc,1199,962,24.6
201601, Africa, Year and Continent, entire,3094,2427,27.5
201601, Africa, Republic of South Africa, tourism,315,261,20.7
201601, Africa, Republic of South Africa, commercial,42,60,-30
201601, Africa, Republic of South Africa, Public,1,5,-80
201601, Africa, Republic of South Africa, Study Abroad,2,13,-84.6
201601, Africa, Republic of South Africa, etc,600,574,4.5
201601, Africa, Republic of South Africa, entire,960,913,5.1
201601, Africa, etc, tourism,927,675,37.3
201601, Africa, etc, commercial,397,322,23.3
201601, Africa, etc, Public,26,13,100
201601, Africa, etc, Study Abroad,185,116,59.5
201601, Africa, etc, etc,599,388,54.4
201601, Africa, etc, entire,2134,1514,41
201601, etc, Year and Continent, tourism,22,8,175
201601, etc, Year and Continent, commercial,1,2,-50
201601, etc, Year and Continent, Public,0,0,0
201601, etc, Year and Continent, Study Abroad,1,0,0
201601, etc, Year and Continent, etc,28,29,-3.4
201601, etc, Year and Continent, entire,52,39,33.3
201601, etc, etc, tourism,22,8,175
201601, etc, etc, commercial,1,2,-50
201601, etc, etc, Public,0,0,0
201601, etc, etc, Study Abroad,1,0,0
201601, etc, etc, etc,28,29,-3.4
201601, etc, etc, entire,52,39,33.3
201601, Korean, Year and Continent, tourism,0,0,0
201601, Korean, Year and Continent, commercial,0,0,0
201601, Korean, Year and Continent, Public,0,0,0
201601, Korean, Year and Continent, Study Abroad,0,0,0
201601, Korean, Year and Continent, etc,18390,19115,-3.8
201601, Korean, Year and Continent, entire,18390,19115,-3.8
201601, Korean, Korean, tourism,0,0,0
201601, Korean, Korean, commercial,0,0,0
201601, Korean, Korean, Public,0,0,0
201601, Korean, Korean, Study Abroad,0,0,0
201601, Korean, Korean, etc,18390,19115,-3.8
201601, Korean, Korean, entire,18390,19115,-3.8
201602, Entire continent, year, tourism,849995,815138,4.3
201602, Entire continent, year, commercial,13629,14354,-5.1
201602, Entire continent, year, Public,2549,2256,13
201602, Entire continent, year, Study Abroad,54122,36399,48.7
201602, Entire continent, year, etc,205955,182559,12.8
201602, Entire continent, year, entire,1126250,1050706,7.2
201602, Asia, Year and Continent, tourism,764871,734979,4.1
201602, Asia, Year and Continent, commercial,10069,10386,-3.1
201602, Asia, Year and Continent, Public,1068,872,22.5
201602, Asia, Year and Continent, Study Abroad,49273,32166,53.2
201602, Asia, Year and Continent, etc,147537,127517,15.7
201602, Asia, Year and Continent, entire,972818,905920,7.4
201602, Asia, china, tourism,424232,413096,2.7
201602, Asia, china, commercial,3160,3015,4.8
201602, Asia, china, Public,100,139,-28.1
201602, Asia, china, Study Abroad,38075,24083,58.1
201602, Asia, china, etc,80841,76454,5.7
201602, Asia, china, entire,546408,516787,5.7
201602, Asia, japan, tourism,136324,134366,1.5
201602, Asia, japan, commercial,2323,2464,-5.7
201602, Asia, japan, Public,80,96,-16.7
201602, Asia, japan, Study Abroad,1892,1674,13
201602, Asia, japan, etc,3874,3987,-2.8
201602, Asia, japan, entire,144493,142587,1.3
201602, Asia, taiwan, tourism,56092,52425,7
201602, Asia, taiwan, commercial,63,63,0
201602, Asia, taiwan, Public,18,8,125
201602, Asia, taiwan, Study Abroad,686,516,32.9
201602, Asia, taiwan, etc,1017,707,43.8
201602, Asia, taiwan, entire,57876,53719,7.7
201602, Asia, Hong Kong, tourism,48259,49996,-3.5
201602, Asia, Hong Kong, commercial,53,46,15.2
201602, Asia, Hong Kong, Public,1,0,0
201602, Asia, Hong Kong, Study Abroad,396,283,39.9
201602, Asia, Hong Kong, etc,451,667,-32.4
201602, Asia, Hong Kong, entire,49160,50992,-3.6
201602, Asia, Macau, tourism,3441,3428,0.4
201602, Asia, Macau, commercial,0,1,-100
201602, Asia, Macau, Public,0,0,0
201602, Asia, Macau, Study Abroad,25,20,25
201602, Asia, Macau, etc,16,28,-42.9
201602, Asia, Macau, entire,3482,3477,0.1
201602, Asia, Philippines, tourism,10422,8812,18.3
201602, Asia, Philippines, commercial,222,227,-2.2
201602, Asia, Philippines, Public,82,52,57.7
201602, Asia, Philippines, Study Abroad,234,194,20.6
201602, Asia, Philippines, etc,19769,14455,36.8
201602, Asia, Philippines, entire,30729,23740,29.4
201602, Asia, Indonesia, tourism,7617,6780,12.3
201602, Asia, Indonesia, commercial,311,176,76.7
201602, Asia, Indonesia, Public,40,15,166.7
201602, Asia, Indonesia, Study Abroad,652,520,25.4
201602, Asia, Indonesia, etc,7229,4601,57.1
201602, Asia, Indonesia, entire,15849,12092,31.1
201602, Asia, thailand, tourism,30618,29581,3.5
201602, Asia, thailand, commercial,31,38,-18.4
201602, Asia, thailand, Public,117,77,51.9
201602, Asia, thailand, Study Abroad,296,247,19.8
201602, Asia, thailand, etc,4771,4918,-3
201602, Asia, thailand, entire,35833,34861,2.8
201602, Asia, vietnam, tourism,8555,4371,95.7
201602, Asia, vietnam, commercial,178,216,-17.6
201602, Asia, vietnam, Public,52,67,-22.4
201602, Asia, vietnam, Study Abroad,2499,1015,146.2
201602, Asia, vietnam, etc,6520,4140,57.5
201602, Asia, vietnam, entire,17804,9809,81.5
201602, Asia, India, tourism,1691,1442,17.3
201602, Asia, India, commercial,1906,1892,0.7
201602, Asia, India, Public,22,16,37.5
201602, Asia, India, Study Abroad,353,314,12.4
201602, Asia, India, etc,6258,4319,44.9
201602, Asia, India, entire,10230,7983,28.1
201602, Asia, malaysia, tourism,16854,12095,39.3
201602, Asia, malaysia, commercial,243,230,5.7
201602, Asia, malaysia, Public,4,6,-33.3
201602, Asia, malaysia, Study Abroad,696,570,22.1
201602, Asia, malaysia, etc,1860,1312,41.8
201602, Asia, malaysia, entire,19657,14213,38.3
201602, Asia, Singapore, tourism,6359,6672,-4.7
201602, Asia, Singapore, commercial,129,121,6.6
201602, Asia, Singapore, Public,6,4,50
201602, Asia, Singapore, Study Abroad,262,210,24.8
201602, Asia, Singapore, etc,1499,1159,29.3
201602, Asia, Singapore, entire,8255,8166,1.1
201602, Asia, Mongolia, tourism,4444,4129,7.6
201602, Asia, Mongolia, commercial,103,94,9.6
201602, Asia, Mongolia, Public,280,195,43.6
201602, Asia, Mongolia, Study Abroad,825,500,65
201602, Asia, Mongolia, etc,585,402,45.5
201602, Asia, Mongolia, entire,6237,5320,17.2
201602, Asia, Uzbekistan, tourism,1861,1032,80.3
201602, Asia, Uzbekistan, commercial,270,777,-65.3
201602, Asia, Uzbekistan, Public,0,1,-100
201602, Asia, Uzbekistan, Study Abroad,274,177,54.8
201602, Asia, Uzbekistan, etc,2565,2087,22.9
201602, Asia, Uzbekistan, entire,4970,4074,22
201602, Asia, Myanmar, tourism,1067,1154,-7.5
201602, Asia, Myanmar, commercial,11,19,-42.1
201602, Asia, Myanmar, Public,48,12,300
201602, Asia, Myanmar, Study Abroad,141,93,51.6
201602, Asia, Myanmar, etc,3825,3271,16.9
201602, Asia, Myanmar, entire,5092,4549,11.9
201602, Asia, GCC, tourism,1004,876,14.6
201602, Asia, GCC, commercial,26,25,4
201602, Asia, GCC, Public,7,6,16.7
201602, Asia, GCC, Study Abroad,347,369,-6
201602, Asia, GCC, etc,94,60,56.7
201602, Asia, GCC, entire,1478,1336,10.6
201602, Asia, Kazakhstan, tourism,2005,1641,22.2
201602, Asia, Kazakhstan, commercial,5,6,-16.7
201602, Asia, Kazakhstan, Public,3,0,0
201602, Asia, Kazakhstan, Study Abroad,320,360,-11.1
201602, Asia, Kazakhstan, etc,587,271,116.6
201602, Asia, Kazakhstan, entire,2920,2278,28.2
201602, Asia, Turkye, tourism,656,617,6.3
201602, Asia, Turkye, commercial,15,24,-37.5
201602, Asia, Turkye, Public,15,42,-64.3
201602, Asia, Turkye, Study Abroad,116,83,39.8
201602, Asia, Turkye, etc,837,673,24.4
201602, Asia, Turkye, entire,1639,1439,13.9
201602, Asia, Cambodia, tourism,854,391,118.4
201602, Asia, Cambodia, commercial,35,28,25
201602, Asia, Cambodia, Public,52,16,225
201602, Asia, Cambodia, Study Abroad,172,119,44.5
201602, Asia, Cambodia, etc,1662,982,69.2
201602, Asia, Cambodia, entire,2775,1536,80.7
201602, Asia, Sri Lanka, tourism,170,134,26.9
201602, Asia, Sri Lanka, commercial,58,55,5.5
201602, Asia, Sri Lanka, Public,0,0,0
201602, Asia, Sri Lanka, Study Abroad,35,43,-18.6
201602, Asia, Sri Lanka, etc,953,968,-1.5
201602, Asia, Sri Lanka, entire,1216,1200,1.3
201602, Asia, Bangladesh, tourism,92,130,-29.2
201602, Asia, Bangladesh, commercial,111,77,44.2
201602, Asia, Bangladesh, Public,27,8,237.5
201602, Asia, Bangladesh, Study Abroad,212,116,82.8
201602, Asia, Bangladesh, etc,472,556,-15.1
201602, Asia, Bangladesh, entire,914,887,3
201602, Asia, Pakistan, tourism,210,151,39.1
201602, Asia, Pakistan, commercial,203,190,6.8
201602, Asia, Pakistan, Public,5,6,-16.7
201602, Asia, Pakistan, Study Abroad,284,209,35.9
201602, Asia, Pakistan, etc,368,306,20.3
201602, Asia, Pakistan, entire,1070,862,24.1
201602, Asia, Israel, tourism,659,768,-14.2
201602, Asia, Israel, commercial,7,6,16.7
201602, Asia, Israel, Public,0,0,0
201602, Asia, Israel, Study Abroad,15,7,114.3
201602, Asia, Israel, etc,36,23,56.5
201602, Asia, Israel, entire,717,804,-10.8
201602, Asia, Iran, tourism,85,52,63.5
201602, Asia, Iran, commercial,205,150,36.7
201602, Asia, Iran, Public,6,0,0
201602, Asia, Iran, Study Abroad,76,68,11.8
201602, Asia, Iran, etc,83,27,207.4
201602, Asia, Iran, entire,455,297,53.2
201602, Asia, etc, tourism,1300,840,54.8
201602, Asia, etc, commercial,401,446,-10.1
201602, Asia, etc, Public,103,106,-2.8
201602, Asia, etc, Study Abroad,390,376,3.7
201602, Asia, etc, etc,1365,1144,19.3
201602, Asia, etc, entire,3559,2912,22.2
201602, America, Year and Continent, tourism,41611,40525,2.7
201602, America, Year and Continent, commercial,550,831,-33.8
201602, America, Year and Continent, Public,1274,1223,4.2
201602, America, Year and Continent, Study Abroad,1403,1288,8.9
201602, America, Year and Continent, etc,20281,18963,7
201602, America, Year and Continent, entire,65119,62830,3.6
201602, America, USA, tourism,32972,31724,3.9
